id_cliente,nome,email,telefone,cidade,estado,data_cadastro
1,Rafaela Moreira,rodriguesmarcela@da.br,0900 346 0589,Rocha,MG,2022-10-17
2,Gustavo Henrique da Conceição,maria-ceciliamartins@da.br,+55 81 3970-3428,Correia de Fernandes,AC,2024-12-13
3,Sra. Brenda Cardoso,leandro55@da.br,84 7200-0574,Melo,RN,2024-07-22
4,Bárbara Porto,leonardo43@uol.com.br,+55 11 0405 4337,Castro do Sul,BA,2021-12-29
5,Fernando Correia,iaragao@hotmail.com,21 3108 0883,da Costa de Moura,RO,2024-05-24
6,Ana Vitória Farias,brunoda-rosa@bol.com.br,+55 (031) 5250-9241,Monteiro de Minas,RN,2021-08-10
7,Cauê Teixeira,peixotojuan@ig.com.br,+55 31 0601-4840,Mendes Alegre,PR,2023-04-25
8,Sra. Maria Alice Castro,santosemanuelly@silveira.br,0800-377-4604,Santos dos Dourados,MS,2022-11-07
9,Dr. Davi Araújo,wcampos@uol.com.br,+55 (084) 1222-6893,Caldeira Grande,PE,2022-09-19
10,Yasmin Pires,alexandre22@hotmail.com,11 2102 1302,Silva do Campo,PR,2021-05-09
11,Emanuelly Correia,rocharenan@rezende.br,0800-248-2431,Oliveira,MG,2022-04-01
12,Elisa Lopes,enzo-gabriel31@alves.br,+55 61 0281-0585,Melo,DF,2025-07-13
13,Arthur Farias,ada-mota@ferreira.br,+55 84 1334-6883,da Cunha,RR,2020-11-01
14,Maria Julia Souza,pedroda-paz@silva.com,31 1357 5225,Almeida,ES,2024-08-15
15,Nina Fernandes,lais73@nogueira.org,+55 (011) 2781-0157,da Costa,ES,2020-10-27
16,Rebeca Freitas,moreiraalexia@ig.com.br,+55 11 1789 2623,Cardoso,MG,2020-09-30
17,Sra. Nicole Alves,heloisacardoso@pires.com,21 5600 3666,Caldeira do Galho,MG,2023-07-17
18,Clarice Ferreira,nunesjoao-gabriel@gmail.com,+55 81 4316-2036,Costa das Pedras,GO,2022-09-19
19,Kamilly Souza,da-mataotavio@da.com,+55 21 7366 5742,da Mata do Oeste,MS,2022-06-03
20,Daniel Teixeira,levi87@hotmail.com,61 2999-2900,da Cunha de da Mata,ES,2021-01-22
21,Breno Costela,carlos-eduardo89@rodrigues.br,84 8066-0011,Caldeira Grande,AC,2025-04-23
22,Bernardo Souza,antonioda-rocha@cardoso.com,0500-908-2250,Mendes,SC,2025-05-22
23,Isabelly Fernandes,monteiroenzo@ig.com.br,81 4021 2600,Silva,MS,2020-12-10
24,Maria Sophia Gomes,vda-costa@uol.com.br,+55 71 7819-9410,Lima das Pedras,DF,2020-12-09
25,Igor Barbosa,cramos@costa.net,(021) 2810-2726,Moura,SP,2022-10-15
26,Sra. Maria Barros,da-pazcaio@pereira.com,+55 51 8400 9269,Sales do Oeste,PB,2021-09-25
27,Dr. Marcelo Melo,jramos@bol.com.br,81 8899-1274,da Luz,TO,2022-01-12
28,Davi Lucas Teixeira,samuelmelo@hotmail.com,+55 84 0320 9987,Aragão de Minas,MA,2021-11-07
29,Francisco Aragão,joao-guilhermerocha@costela.com,+55 71 4776 1719,Correia do Amparo,RJ,2024-05-10
30,Carolina Moreira,cda-rosa@ramos.org,0800 698 7305,Castro,ES,2024-11-25
31,Srta. Laís Cunha,moraesmaria-julia@uol.com.br,+55 21 3099 1086,Vieira,TO,2022-01-11
32,Dra. Luana da Paz,arodrigues@uol.com.br,+55 (084) 6613-1548,Castro das Pedras,BA,2024-08-20
33,Vitória Lopes,zpinto@cardoso.br,41 0958-3545,Viana das Flores,RN,2021-03-12
34,Dr. Cauã da Rosa,dda-rosa@costela.br,41 9624-9469,Rodrigues,RN,2021-05-09
35,Rebeca Porto,isaac60@yahoo.com.br,(081) 5345-6063,Rocha de Gomes,TO,2025-07-26
36,Letícia Mendes,luccavieira@rodrigues.com,(011) 7859-1331,Monteiro da Mata,PI,2020-11-20
37,Eduardo Alves,sofiaalves@da.org,0800-167-7094,Pinto,SP,2021-10-20
38,Pedro Henrique Peixoto,sabrinada-rocha@gmail.com,+55 (071) 4824-2145,Porto de Ribeiro,PB,2025-06-14
39,Dra. Brenda Rezende,xnascimento@vieira.br,+55 31 7787-8677,Nascimento de Silveira,AL,2024-10-20
40,Enzo Gabriel Azevedo,silvaclara@ig.com.br,+55 41 1306-8468,Sales da Serra,AM,2024-01-08
